date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20140228	464544	385378	H	   3	Princeton	Alanna Wolff        	Stony Brook	Jackie Altansarnai  	7-5, 6-0
20140228	423230	411398	H	   3	Buffalo	Margarita Kotok     	Colgate	Katie Grant         	6-1, 6-2
20140228	419376	413451	A	   3	Drake	Maddie Johnson      	Nebraska	Mary Hanna          	6-4, 6-2
20140228	427675	423891	H	   3	Northern Iowa	Elvira Lopez        	Upper Iowa	Vicky Kulbokas      	6-3, 6-0
20140228	416572	418604	H	   3	New Mexico	Meredith Hopson     	Colorado	Winde Janssens      	6-3, 7-6 (4)
20140228	418586	402568	H	   3	Alabama	Maya Jansen         	Mississippi State	Roseline Dion       	6-1, 6-1
20140228	396137	409357	H	   3	Florida	Alex Cercone        	Texas A&M	Saska Gavrilovska   	6-3, 6-1
20140228	402409	438942	H	   3	Kentucky	Kelsey Dieters      	LSU	Gabrielle Otero     	6-3, 6-3
20140228	419656	401049	H	   3	Ole Miss	Julia Jones         	Auburn	Paula De Man        	6-1, 6-4
20140228	455431	440260	A	   3	Missouri	Rachel Stuhlmann    	Wofford	Julia Paulson       	6-2, 6-1
20140228	455431	407252	A	   3	Missouri	Rachel Stuhlmann    	South Carolina	Brigit Folland      	6-3, 6-3
20140228	398259	455828	H	   3	Vanderbilt	Courtney Colton     	Arkansas	Kimberley - Ann Surin	6-4, 6-4
20140228	442698	411449	H	   3	Mercer	Haley Powell        	Florida A&M	Monet Graves        	6-0 6-1
20140228	436009	453440	A	   3	Nicholls State	Katya Nakonechnaya  	UNC Asheville	Amryn Soldier       	6-2, 7-6
20140228	427786	459761	H	   3	Stephen F. Austin	Julia Lorca         	New Mexico State	Denise Van Der Ben  	7-6 (1) 7-6 (1)
20140228	457818	442974	N	   3	Alcorn State	Merilin Tipp        	Alabama A&M	Khyana Price        	6-0 6-0
20140228	386431	456976	N	   3	Arkansas Pine Bluff	Monica Arcos        	Alabama State	Melissa Telfer      	6-0, 6-1
20140228	386430	457818	N	   3	Arkansas Pine Bluff	M Arcos             	Alcorn State	Merilin Tipp        	6-4 6-3
20140228	385678	396985	H	   3	Jackson State	Akshatha Ananth     	Grambling	Tafadza Chiridza    	6-2,6,3
20140228	436769	385678	A	   3	Prairie View A&M	Christine Ngo Gwodog	Jackson State	Akshatha Ananth     	6-1, 5-7, 7-6(4)
20140228	434413	442974	H	   3	Southern	Darnesha Moore      	Alabama A&M	Khyana Price        	6-0, 6-0
20140228	434413	396985	N	   3	Southern	Darnesha Moore      	Grambling	Tafadza Chiridza    	6-0, 6-2
20140228	433838	447951	A	   3	South Alabama	Monica Mitta        	Bethune Cookman	Maria Sablina       	6-2, 6-1
20140228	398975	417115	H	   3	Troy	Anja Cosovic        	Kennesaw State	Jana Hueckinghaus   	6-4, 6-1
20140228	453929	412680	H	   3	Army	Gabriella Spindler  	NJIT	Nathalie Habegger   	6-3 6-3
20140228	412429	444137	A	   3	Grand Canyon	Janaki Gunuganti    	UTRGV	Mariana Ranzahuer   	6-2, 6-3
20140228	385664	428051	H	   3	UTRGV	Christel Amsallem   	Texas A&M-Kingsville	Tabata Lua          	6-0, 6-1
20140228	393835	406979	A	   4	Cincinnati	Katya Bure          	Connecticut	Shea Flanagan       	6-4, 6-0
20140228	429601	446748	H	   4	Dayton	Mandy Marchant      	Northern Kentucky	Marta Romeo         	6-7, 7-5, 1-0
20140228	398487	424338	H	   4	Duquesne	Chandler Consonery  	George Mason	Olivia Lacy-Thompson	6-3, 6-2
20140228	429176	426154	N	   4	UMass	Aarzoo Malik        	Fordham	Julie Leong         	6-1 6-1
20140228	402098	406622	H	   4	Clemson	Tristen Dewar       	N.C. State	Liza Fieldsend      	6-4, 6-3
20140228	452677	446124	H	   4	Duke	Alyssa Smith        	Notre Dame	Monica Robinson     	6-2, 6-3
