date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160324	441401	446165	H	   4	UC Irvine	Tyler Pham          	UC Riverside	Sean Robles         	6-1, 6-1
20160324	441401	390825	A	   4	UC Irvine	Tyler Pham          	Hawaii	Ruben Blattner      	6-1 6-0
20160324	442572	446203	A	   4	UCSD	Horea Porutiu       	Sonoma State	Sullivan Roche      	6-3, 6-2
20160324	407071	440209	A	   4	Dartmouth	Max Fliegner        	Memphis	Chris Patzanovsky   	6-4, 6-3
20160324	439040	419129	N	   4	S.C. State	Cyprian Owczarz     	DePaul	Paul John           	1-6, 7-5, 10-7
20160324	392045	431564	A	   4	Wagner	Charlton Boyd       	Connecticut	Zac McEntee         	6-4, 7-5
20160324	437025	424659	A	   4	Tennessee Tech	Guille Nicolas      	Louisville	Brandon Lancaster   	0-6, 6-1, 6-4
20160324	411751	424659	A	   4	Illinois State	Christoffer Greve   	Louisville	Brandon Lancaster   	6-3, 6-7, 1-0
20160324	443836	420868	N	   4	Grand Canyon	Mathieu Rajaonah    	UTRGV	Yehonatan Kaufman   	6-4 6-1
20160324	401422	449805	H	   4	New Mexico State	Stijn DeHaan        	Seattle	Michael Schoettler  	7-6, 6-1
20160324	443207	462339	N	   4	UMKC	Mike Psarros        	Chicago State	Rohan Wattley       	6-1, 6-3
20160324	459616	461918	H	   5	Connecticut	Arnaud Valentin     	Wagner	Allen Wang          	6-2, 6-4
20160324	444276	432510	H	   5	Memphis	Felix Rauch         	Jackson State	Federico Mendieta   	6-2, 6-2
20160324	421799	442150	A	   5	Tulsa	Majed Kilani        	Baylor	Tommy Podvinski     	6-4, 5-7, 6-3
20160324	413961	418721	H	   5	Davidson	Jordan Hart         	Dayton	Simon Jayaram       	7-5,6-3
20160324	443470	417731	H	   5	Richmond	Jonathan Quenard    	Longwood	Rosen Ilchev        	6-3,6-2
20160324	411247	465772	H	   5	Florida State	Jose Gracia         	Georgia Tech	Daniel Yun          	6-2, 7-6 (5)
20160324	427584	391123	H	   5	Louisville	Carlos Longhi Neto  	Illinois State	Andreas Boers       	6-4, 6-2
20160324	395811	433460	A	   5	Liberty	Diego Castano       	Presbyterian	Brandon Mills       	2-6, 6-3, 6-2
20160324	409162	420017	H	   5	USC Upstate	Ignacio Garrido     	Stetson	Simon Julin         	3-6 6-0 6-2
20160324	410949	455512	A	   5	Idaho State	Josh Goodwin        	Arizona Christian	Ezequiel Suarez     	6-1,6-0
20160324	395655	438206	A	   5	Montana	Victor Casadevall   	Southern Utah	Branden Olcott      	6-1, 6-1
20160324	387528	394859	H	   5	Presbyterian	Will Baird          	Limestone	Giacomo Campus      	6-4,6-2
20160324	413265	458462	A	   5	UC Irvine	Jonathan Hammel     	Hawaii	Spencer Travallino  	6-3 3-6 6-2
20160324	436760	387543	A	   5	UC Riverside	Calvin Ngo          	UC Irvine	Vatsal Bajpai       	6-3, 5-7, 5-10
20160324	413345	407722	A	   5	UCSD	Richard Han         	Sonoma State	Christian Francisco 	6-3, 6-1
20160324	455458	438445	N	   5	S.C. State	Alekander Stupar    	DePaul	Conor OMeara        	6-4, 6-4
20160324	389902	427584	A	   5	Tennessee Tech	Marcos Bernardes    	Louisville	Carlos Longhi Neto  	7-6, 6-3
20160324	396620	419530	N	   5	Grand Canyon	Meidy Chazeau       	UTRGV	Elliot Johnstone    	6-3 7-6(5)
20160324	389508	425482	H	   5	New Mexico State	Mauri Benitez       	Seattle	Connor Leahy        	6-3, 6-3
20160324	441404	430235	N	   5	UMKC	Vinh Pham           	Chicago State	Gonzalo Martinez    	6-1, 6-4
20160324	415630	437740	H	   6	Connecticut	Hank Hill           	Wagner	Jeremy Nuss         	6-0, 6-1
20160324	386856	384521	H	   6	Memphis	Louis Asser         	Jackson State	Richie Agarwal      	6-2, 6-1
20160324	421163	454408	A	   6	Tulsa	Francois Kellerman  	Baylor	Tyler Stayer        	6-1, 6-1
20160324	445193	446678	H	   6	Davidson	Jack Riazzi         	Dayton	Lorenzo Rollhauser  	3-6,6-4,7-5
20160324	442239	429488	H	   6	Richmond	Brice Polender      	Longwood	Lachlan Manser      	6-2,6-0
20160324	443865	463318	A	   6	Georgia Tech	Nathan Rakitt       	Florida State	Terrance Whitehurst 	6-4, 6-3
20160324	403060	385074	H	   6	Louisville	Sean Donohue        	Tennessee Tech	Jorge Alfonzo       	6-4, 6-3
